SoA Element - Raw Text Extract,Standard Activity - Display in UI
HbA1c,Hemoglobin A1c (HbA1c),Labs
Randomization,Randomization/IWRS,Study Procedures
Height,Height,Physical Examination
Weight,Weight,Physical Examination
Hematology,Hematology,Labs
Concomitant medications,Concomitant medications,Physical Examination
Calcitonin,Calcitonin,Labs
Informed consent,Informed Consent,Study Procedures 
Chemistry panel,Comprehensive Metabolic Panel (Clinical Chemistry),Labs
Lipid panel,Lipid panel,Labs
Electrocardiogram,12-lead ECG (central or local),Procedures
Medical history,Prespecified medical history (indication and history of interest),Physical Examination
Adverse events,Adverse events (AEs),Physical Examination
Dispense study drug,Dispense Study Drug,Study Procedures
Physical examination,Physical examination,Physical Examination
Waist circumference,Waist Circumference,Physical Examination
ECG,12-lead ECG (central or local),Procedures
Telephone Visit,Telephone Call,Study Procedures
IWRS,Randomization/IWRS,Study Procedures
"Pancreatic amylase, lipase",Pancreatic Amylase,Labs
Urinalysis,Urinalysis,Labs
Assess study drug compliance,Assess study drug compliance,Study Procedures
EQ-5D-5L,EQ-5D-5L,Questionnaires
Pregnancy test,Urine pregnancy (local),Labs
Serum pregnancy test,Serum pregnancy,Labs
C-peptide,C-Peptide,Labs
Urine pregnancy test,Urine pregnancy (local),Labs
Fasting serum glucose,Glucose,Labs
Follicle-stimulating hormone test,Follicle Stimulating Hormone (FSH),Labs
APPADL,APP ADL,Questionnaires
Chemistry,Comprehensive Metabolic Panel (Clinical Chemistry),Labs
Demographic data,Demographics,Physical Examination
Diabetes education,Patient Education,Study Procedures 
Drug accountability,Assess study drug compliance,Study Procedures
eGFR (CKD-EPI),eGFR (CKD-EPI),Labs
Immunogenicity,Immunogencity (ADA) samples,Labs
Physical,Physical examination,Physical Examination
Review/record hypoglycemic events,Hypoglycemic events review,Study Procedures
Urinary albumin/creatinine ratio,Urinary albumin/creatinine ratio (UACR),Labs
"BG meter, SMBG training",Dispense and train on use of blood glucose meter,Study Procedures
Body weight,Weight,Physical Examination
Concomitant medication,Concomitant medications,Physical Examination
Dispense IP,Dispense Study Drug,Study Procedures
"Dispense study diary, instruct in use",Patient diary dispensed,Study Procedures 
ITSQ,IT-SQ,Questionnaires
Medical History,Prespecified medical history (indication and history of interest),Physical Examination
